/Motor/Motor_Tachometer/freq,/Motor/MTR_Drive_H/ISO_Velocity_RMS,/Motor/MTR_Drive_H/1X_Phase_peak,/Motor/MTR_Drive_H/2X,/Motor/MTR_Drive_V/ISO_Velocity_RMS,/Motor/MTR_Drive_V/1X_Phase_peak,/Motor/MTR_Drive_V/2X,/Motor/MTR_Drive_V/3X,/Fan/Fan_Tachometer/freq,/Fan/Fan_Drive_H/ISO_Velocity_RMS,/Fan/Fan_Drive_H/1X_Phase_peak,/Fan/Fan_Drive_H/2X,/Fan/Fan_Drive_H/3X,/Fan/Fan_Drive_V/ISO_Velocity_RMS,/Fan/Fan_Drive_V/1X_Phase_peak,/Fan/Fan_Drive_V/2X,/Fan/Fan_Drive_V/3X
9.979232,0.24782574,0.053793807,0.062170304,0.30031455,0.11071906,0.07015078,0.12102386,6.747334,0.26157734,0.111469075,0.014742943,0.0721602,0.2115463,0.093224496,0.012693488,0.045417957
14.96965,0.5333389,0.30749908,0.15505691,0.5231192,0.1831943,0.15439574,0.33006838,10.118572,0.37367687,0.048508793,0.08249508,0.21541099,0.37478608,0.05406277,0.034733217,0.18520126
19.959826,0.8652544,0.2690271,0.73582274,0.64805454,0.08761038,0.5665172,0.0968084,13.487991,0.5555855,0.84902143,0.14951877,0.30455205,0.46795452,0.08858298,0.16908829,0.19820166
24.942257,0.63807607,0.2824781,0.40409738,0.6736302,0.20557375,0.49473453,0.05482002,16.86206,0.601125,0.38237897,0.10467198,0.44719607,0.6990646,0.29378733,0.13843386,0.3682282
29.924404,1.165655,0.9018774,0.747856,0.90930617,0.83596534,0.6237305,0.10937441,20.011446,1.9969702,0.6650911,0.32239476,1.8204486,1.1687093,0.33378616,0.37184456,0.6836863
34.914875,1.6126319,2.3393083,0.20161195,1.596806,2.0357893,0.2732607,0.073575206,23.58361,1.2395369,0.2710276,0.54352474,0.3220482,1.7015278,0.74060607,1.1641027,0.40927526
39.876053,2.1714149,2.4525754,0.36461806,1.8736959,1.9136763,0.7417632,0.24509247,26.942163,1.516676,0.74021226,1.0600528,0.3070879,1.38203,1.0408565,0.31567323,0.87267375
44.844677,2.5369608,0.82574904,0.3250231,2.244408,1.8464042,1.1608076,0.19760473,30.278248,2.1366801,0.39583266,1.5973263,0.7498135,2.5844126,2.4570725,1.2851704,1.245446
49.810665,4.555995,4.5879974,0.66766256,3.3169484,3.7843728,0.35491377,0.27088144,33.666103,2.1832078,3.1338055,0.6638833,0.5147201,3.986866,5.382305,0.6979744,0.3021223
49.810326,4.754129,2.355825,0.63842005,3.1483274,1.0548216,0.35144016,0.271338,33.639626,2.1060288,3.3149579,0.66558737,0.5203088,4.0597873,5.5467477,0.6844764,0.20440084
